;type;in_channels;in_shape;out_channels;out_shape;params/sparsity;v_weight;v_r_weight;v_c_weight;v_bias;weight_ent;bias_ent;MACC;reduced MACC;KB32
0;ZeroPad2d;1;(3, 128, 128);1;(3, 131, 131);0.0;0;0.0;0.0;0.0;0.0;0.0;0;0;0.0
1;Conv2d;3;(3, 131, 131);64;(64, 64, 64);4864.0;0;0.0;0.0;0.0;12.23;6.0;19660800;19660800;237.94688
2;LeakyReLU;1;(64, 64, 64);1;(64, 64, 64);0.0;0;0.0;0.0;0.0;0.0;0.0;0;0;0.0
3;ZeroPad2d;1;(64, 64, 64);1;(64, 67, 67);0.0;0;0.0;0.0;0.0;0.0;0.0;0;0;0.0
4;Conv2d;64;(64, 67, 67);128;(128, 32, 32);204928.0;188667;72.0;0.0;0.0;1.5;7.0;209715200;91750400;1229.568
5;LeakyReLU;1;(128, 32, 32);1;(128, 32, 32);0.0;0;0.0;0.0;0.0;0.0;0.0;0;0;0.0
6;ZeroPad2d;1;(128, 32, 32);1;(128, 34, 34);0.0;0;0.0;0.0;0.0;0.0;0.0;0;0;0.0
7;Conv2d;128;(128, 34, 34);128;(128, 32, 32);147584.0;124872;28.0;0.0;0.0;2.83;7.0;150994944;117964800;1670.6508800000001
8;LeakyReLU;1;(128, 32, 32);1;(128, 32, 32);0.0;0;0.0;0.0;0.0;0.0;0.0;0;0;0.0
9;ZeroPad2d;1;(128, 32, 32);1;(128, 34, 34);0.0;0;0.0;0.0;0.0;0.0;0.0;0;0;0.0
10;Conv2d;128;(128, 34, 34);128;(128, 32, 32);147584.0;113047;11.0;0.0;0.0;4.3;7.0;150994944;138018816;2538.4447999999998
11;ZeroPad2d;1;(128, 32, 32);1;(128, 34, 34);0.0;0;0.0;0.0;0.0;0.0;0.0;0;0;0.0
12;Conv2d;128;(128, 34, 34);128;(128, 32, 32);147584.0;127146;38.0;0.0;0.0;2.55;7.0;150994944;106168320;1505.3567999999998
13;LeakyReLU;1;(128, 32, 32);1;(128, 32, 32);0.0;0;0.0;0.0;0.0;0.0;0.0;0;0;0.0
14;ZeroPad2d;1;(128, 32, 32);1;(128, 34, 34);0.0;0;0.0;0.0;0.0;0.0;0.0;0;0;0.0
15;Conv2d;128;(128, 34, 34);128;(128, 32, 32);147584.0;119670;17.0;0.0;0.0;3.48;7.0;150994944;130940928;2054.36928
16;ZeroPad2d;1;(128, 32, 32);1;(128, 34, 34);0.0;0;0.0;0.0;0.0;0.0;0.0;0;0;0.0
17;Conv2d;128;(128, 34, 34);128;(128, 32, 32);147584.0;129414;55.0;0.0;0.0;2.27;7.0;150994944;86114304;1340.06272
18;LeakyReLU;1;(128, 32, 32);1;(128, 32, 32);0.0;0;0.0;0.0;0.0;0.0;0.0;0;0;0.0
19;ZeroPad2d;1;(128, 32, 32);1;(128, 34, 34);0.0;0;0.0;0.0;0.0;0.0;0.0;0;0;0.0
20;Conv2d;128;(128, 34, 34);128;(128, 32, 32);147584.0;117700;16.0;0.0;0.0;3.72;7.0;150994944;132120576;2196.04992
21;Conv2d;128;(128, 32, 32);32;(32, 32, 32);102432.0;74159;0.0;0.0;0.0;4.93;5.0;104857600;104857600;2019.9590399999997
22;Tanh;1;(32, 32, 32);1;(32, 32, 32);0.0;0;0.0;0.0;0.0;0.0;0.0;0;0;0.0
23;General;-;-;-;-;0.8304681777954102;994675;0.0;0.0;0.0;3.65;0.0;1240203264;927596544;14792.408319999997
